,CustomerID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason,churn_probability,cluster_id,cluster_name,top_churn_reason
1323,4713-LZDRV,1,United States,California,Malibu,90263,"34.037037, -118.705803",34.037037,-118.705803,Female,Yes,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.6,195.05,Yes,1,94,4322,Long distance charges,0.9998317,0,Churn Value,
1337,8258-GSTJK,1,United States,California,San Pedro,90732,"33.744119, -118.31448",33.744119,-118.31448,Male,Yes,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,77.0,237.75,Yes,1,96,3128,Attitude of service provider,0.9998317,0,Churn Value,
1354,6000-APYLU,1,United States,California,Valencia,91355,"34.43987, -118.644609",34.43987,-118.644609,Male,No,No,No,9,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.8,713.1,Yes,1,90,3890,Competitor offered more data,0.9998317,0,Churn Value,
1580,1522-VVDMG,1,United States,California,Oakland,94611,"37.828416, -122.216005",37.828416,-122.216005,Male,No,Yes,No,7,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,89.75,608.8,Yes,1,90,3807,Poor expertise of online support,0.9998317,1,Churn Value,
732,7209-JCUDS,1,United States,California,Stockton,95212,"38.049457, -121.21653",38.049457,-121.21653,Male,No,No,No,10,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.9,1048.85,Yes,1,83,2832,Competitor offered higher download speeds,0.9998317,0,Churn Value,
1782,6230-BSUXY,1,United States,California,Paramount,90723,"33.897122, -118.164432",33.897122,-118.164432,Female,Yes,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,85.0,85.0,Yes,1,93,2650,Network reliability,0.9998317,0,Churn Value,
826,2919-HBCJO,1,United States,California,Downieville,95936,"39.578792, -120.780786",39.578792,-120.780786,Female,No,No,No,4,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),76.65,333.6,Yes,1,97,4580,Moved,0.9998317,0,Churn Value,
619,0235-KGSLC,1,United States,California,Buellton,93427,"34.631362, -120.238218",34.631362,-120.238218,Female,No,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.55,85.55,Yes,1,86,3967,Moved,0.9998317,0,Churn Value,
1404,4919-IKATY,1,United States,California,Joshua Tree,92252,"34.167236, -116.281511",34.167236,-116.281511,Male,No,Yes,No,5,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,84.5,453.75,Yes,1,98,5141,Don't know,0.9998317,0,Churn Value,
1092,4229-CZMLL,1,United States,California,Salinas,93901,"36.64152, -121.622188",36.64152,-121.622188,Male,No,No,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,469.8,Yes,1,87,4160,Service dissatisfaction,0.9998317,0,Churn Value,
1510,5196-SGOAK,1,United States,California,Caliente,93518,"35.358953, -118.527064",35.358953,-118.527064,Female,No,No,No,1,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,75.7,75.7,Yes,1,93,4884,Attitude of support person,0.9998317,0,Churn Value,
574,8699-ASUFO,1,United States,California,Nuevo,92567,"33.82769, -117.102244",33.82769,-117.102244,Male,Yes,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.4,527.9,Yes,1,96,4969,Attitude of service provider,0.9998317,0,Churn Value,
98,5167-ZFFMM,1,United States,California,Indio,92201,"33.713891, -116.237257",33.713891,-116.237257,Male,No,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.85,90.85,Yes,1,81,3424,Network reliability,0.9998317,0,Churn Value,
1272,3721-CNEYS,1,United States,California,Douglas City,96024,"40.586588, -122.903677",40.586588,-122.903677,Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.95,137.95,Yes,1,94,5390,Poor expertise of phone support,0.9998317,0,Churn Value,
758,0679-IDSTG,1,United States,California,Branscomb,95417,"39.710591, -123.682799",39.710591,-123.682799,Female,Yes,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.25,69.25,Yes,1,87,4568,Price too high,0.9998317,0,Churn Value,
1497,3244-DCJWY,1,United States,California,Bakersfield,93312,"35.392599, -119.245341",35.392599,-119.245341,Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.25,70.25,Yes,1,89,4133,Attitude of support person,0.9998317,0,Churn Value,
1311,7912-SYRQT,1,United States,California,Los Angeles,90042,"34.11572, -118.192754",34.11572,-118.192754,Female,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.1,552.95,Yes,1,96,5514,Competitor offered more data,0.9998317,0,Churn Value,
453,8375-DKEBR,1,United States,California,Hermosa Beach,90254,"33.86532, -118.396336",33.86532,-118.396336,Female,Yes,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.6,69.6,Yes,1,96,3438,Attitude of support person,0.9998317,0,Churn Value,
380,0506-LVNGN,1,United States,California,Rancho Cordova,95742,"38.591134, -121.161585",38.591134,-121.161585,Female,Yes,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),75.55,349.65,Yes,1,97,4028,Competitor offered higher download speeds,0.9998317,0,Churn Value,
456,9804-ICWBG,1,United States,California,Pacific Palisades,90272,"34.079449, -118.548306",34.079449,-118.548306,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.9,69.9,Yes,1,88,3349,Attitude of support person,0.9998317,0,Churn Value,
282,0655-RBDUG,1,United States,California,Alviso,95002,"37.449537, -121.994813",37.449537,-121.994813,Male,No,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.05,713.0,Yes,1,86,2561,Competitor offered more data,0.9998317,1,Churn Value,
684,6861-XWTWQ,1,United States,California,Napa,94559,"38.232389, -122.324944",38.232389,-122.324944,Male,Yes,Yes,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.25,665.45,Yes,1,90,2487,Lack of self-service on Website,0.9998317,0,Churn Value,
162,9576-ANLXO,1,United States,California,Earlimart,93219,"35.858054, -119.305858",35.858054,-119.305858,Female,No,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.55,222.3,Yes,1,87,2876,Competitor offered higher download speeds,0.9998317,0,Churn Value,
571,5159-YFPKQ,1,United States,California,Moreno Valley,92551,"33.88274, -117.224878",33.88274,-117.224878,Female,No,No,No,2,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,75.8,160.75,Yes,1,98,5270,Attitude of support person,0.9998317,0,Churn Value,
652,3707-GNWHM,1,United States,California,Carmel Valley,93924,"36.414611, -121.6386",36.414611,-121.6386,Male,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.25,74.25,Yes,1,93,4750,Don't know,0.9998317,0,Churn Value,
1203,1069-XAIEM,1,United States,California,Mendocino,95460,"39.305545, -123.743697",39.305545,-123.743697,Female,Yes,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.05,85.05,Yes,1,96,2975,Competitor had better devices,0.9998317,0,Churn Value,
1534,3422-LYEPQ,1,United States,California,Carmel By The Sea,93921,"36.554618, -121.922239",36.554618,-121.922239,Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,71.0,71.0,Yes,1,89,4207,Attitude of support person,0.9998317,0,Churn Value,
418,2761-OCIAX,1,United States,California,Palo Cedro,96073,"40.582399, -122.195512",40.582399,-122.195512,Male,Yes,No,No,2,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.7,165.4,Yes,1,81,2803,Competitor made better offer,0.9998317,0,Churn Value,
1139,7130-VTEWQ,1,United States,California,San Rafael,94903,"38.018065, -122.546024",38.018065,-122.546024,Female,Yes,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.75,606.25,Yes,1,92,4174,Competitor offered more data,0.9998317,0,Churn Value,
1859,1980-KXVPM,1,United States,California,El Centro,92243,"32.770393, -115.60915",32.770393,-115.60915,Female,Yes,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.05,256.25,Yes,1,83,3553,Competitor offered higher download speeds,0.9998317,0,Churn Value,
1213,1853-UDXBW,1,United States,California,Samoa,95564,"40.809636, -124.189977",40.809636,-124.189977,Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.0,70.0,Yes,1,85,2485,Price too high,0.9998317,0,Churn Value,
579,2514-GINMM,1,United States,California,Dana Point,92629,"33.477923, -117.705314",33.477923,-117.705314,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.5,79.5,Yes,1,92,4490,Attitude of service provider,0.9998317,0,Churn Value,
375,5357-TZHPP,1,United States,California,Wheatland,95692,"39.043387, -121.409837",39.043387,-121.409837,Male,Yes,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),84.4,732.5,Yes,1,83,5745,Competitor offered higher download speeds,0.9998317,0,Churn Value,
590,7181-BQYBV,1,United States,California,Garden Grove,92845,"33.782955, -118.026456",33.782955,-118.026456,Female,No,Yes,No,1,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.45,102.45,Yes,1,85,4811,Attitude of service provider,0.9998317,0,Churn Value,
158,0970-ETWGE,1,United States,California,Bodfish,93205,"35.523991, -118.400432",35.523991,-118.400432,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.55,89.55,Yes,1,99,4996,Competitor had better devices,0.9998317,0,Churn Value,
1387,8821-XNHVZ,1,United States,California,Solana Beach,92075,"33.001813, -117.263628",33.001813,-117.263628,Female,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,80.05,80.05,Yes,1,82,2943,Competitor offered more data,0.9998317,0,Churn Value,
1459,9611-CTWIH,1,United States,California,Garden Grove,92841,"33.786738, -117.982564",33.786738,-117.982564,Female,No,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.45,240.45,Yes,1,84,3591,Competitor made better offer,0.9998317,0,Churn Value,
1416,5376-DEQCP,1,United States,California,Barstow,92311,"34.965648, -117.001509",34.965648,-117.001509,Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.6,70.6,Yes,1,85,4063,Competitor offered more data,0.9998317,0,Churn Value,
1727,7235-NXZCP,1,United States,California,Hornbrook,96044,"41.962127, -122.527696",41.962127,-122.527696,Male,Yes,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.85,156.4,Yes,1,84,5378,Competitor made better offer,0.9998317,0,Churn Value,
1665,2754-XBHTB,1,United States,California,Amador City,95601,"38.431407, -120.8421",38.431407,-120.8421,Female,No,No,No,9,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),77.65,714.15,Yes,1,96,3847,Competitor made better offer,0.9998317,0,Churn Value,
1028,6372-RFVNS,1,United States,California,Placentia,92870,"33.881158, -117.854783",33.881158,-117.854783,Female,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,78.8,78.8,Yes,1,87,5075,Attitude of service provider,0.9998292,0,Churn Value,
1853,3585-ISXZP,1,United States,California,Indio,92201,"33.713891, -116.237257",33.713891,-116.237257,Female,No,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),95.65,778.1,Yes,1,95,5335,Attitude of support person,0.9998292,0,Churn Value,
719,6857-VWJDT,1,United States,California,Santa Cruz,95060,"36.993451, -122.098858",36.993451,-122.098858,Female,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.65,95.65,Yes,1,87,3473,Attitude of service provider,0.9998292,0,Churn Value,
144,3627-FHKBK,1,United States,California,Anaheim,92806,"33.83796, -117.870494",33.83796,-117.870494,Female,No,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,75.3,75.3,Yes,1,87,3244,Competitor had better devices,0.9998292,0,Churn Value,
1774,8676-TRMJS,1,United States,California,Torrance,90504,"33.867257, -118.330794",33.867257,-118.330794,Male,No,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,75.0,209.1,Yes,1,88,3190,Limited range of services,0.9998292,0,Churn Value,
404,0330-IVZHA,1,United States,California,Anderson,96007,"40.448632, -122.306657",40.448632,-122.306657,Female,No,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,69.95,330.15,Yes,1,81,2969,Attitude of service provider,0.9998292,0,Churn Value,
1220,7571-YXDAD,1,United States,California,Davis,95618,"38.544002, -121.685559",38.544002,-121.685559,Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),74.9,147.15,Yes,1,93,2078,Long distance charges,0.9998292,0,Churn Value,
238,6680-WKXRZ,1,United States,California,Antioch,94509,"37.980057, -121.801599",37.980057,-121.801599,Female,No,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),74.4,215.8,Yes,1,97,2054,Don't know,0.9998292,0,Churn Value,
224,3908-BLSYF,1,United States,California,Los Altos,94024,"37.352911, -122.093002",37.352911,-122.093002,Female,No,No,No,6,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,83.9,497.55,Yes,1,97,3962,Price too high,0.9998292,0,Churn Value,
462,7198-GLXTC,1,United States,California,La Palma,90623,"33.850504, -118.039892",33.850504,-118.039892,Male,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,79.0,143.65,Yes,1,92,5239,Attitude of support person,0.9998292,0,Churn Value,
1635,2867-UIMSS,1,United States,California,Vernalis,95385,"37.609095, -121.263381",37.609095,-121.263381,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.5,80.5,Yes,1,85,2734,Product dissatisfaction,0.9998292,0,Churn Value,
172,1448-PWKYE,1,United States,California,Shafter,93263,"35.490705, -119.286833",35.490705,-119.286833,Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.0,80.0,Yes,1,88,2046,Competitor had better devices,0.9998292,0,Churn Value,
1776,0685-MLYYM,1,United States,California,Buena Park,90620,"33.845706, -118.012204",33.845706,-118.012204,Female,Yes,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.75,154.85,Yes,1,96,4407,Long distance charges,0.9998292,0,Churn Value,
1546,4512-ZUIYL,1,United States,California,Sunnyvale,94089,"37.421633, -122.009613",37.421633,-122.009613,Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),70.0,153.05,Yes,1,81,2928,Moved,0.9998292,0,Churn Value,
1422,5228-EXCET,1,United States,California,Newberry Springs,92365,"34.89326, -116.505958",34.89326,-116.505958,Male,No,No,No,13,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.85,1008.7,Yes,1,85,5964,Lack of self-service on Website,0.99982846,0,Churn Value,
387,9283-LZQOH,1,United States,California,Antelope,95843,"38.715498, -121.363411",38.715498,-121.363411,Male,No,Yes,No,13,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.4,896.75,Yes,1,89,3687,Competitor made better offer,0.99982846,0,Churn Value,
422,4154-AQUGT,1,United States,California,Vina,96092,"39.955164, -122.018567",39.955164,-122.018567,Male,Yes,Yes,No,13,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),89.05,1169.35,Yes,1,82,3861,Competitor made better offer,0.99982846,1,Churn Value,
1808,2025-JKFWI,1,United States,California,Burbank,91501,"34.188339, -118.300942",34.188339,-118.300942,Male,No,No,No,13,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,99.0,1301.7,Yes,1,81,3493,Lack of affordable download/upload speed,0.9998274,1,Churn Value,
607,2027-FECZV,1,United States,California,Bodfish,93205,"35.523991, -118.400432",35.523991,-118.400432,Male,No,No,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.7,1253.9,Yes,1,92,2406,Attitude of support person,0.9998274,1,Churn Value,
662,0952-KMEEH,1,United States,California,Mountain View,94043,"37.419725, -122.062947",37.419725,-122.062947,Male,No,No,No,13,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,98.15,1230.25,Yes,1,98,5525,Long distance charges,0.9998241,1,Churn Value,
637,9221-OTIVJ,1,United States,California,Dunlap,93621,"36.789213, -119.140338",36.789213,-119.140338,Female,Yes,No,No,14,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.85,1531.4,Yes,1,86,2292,Product dissatisfaction,0.9998233,1,Churn Value,
268,1236-WFCDV,1,United States,California,Greenbrae,94904,"37.946617, -122.563571",37.946617,-122.563571,Male,Yes,No,No,14,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),90.45,1266.1,Yes,1,96,4777,Competitor offered more data,0.9998198,1,Churn Value,
495,6770-XUAGN,1,United States,California,North Hollywood,91605,"34.207295, -118.400022",34.207295,-118.400022,Female,No,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.0,21.0,Yes,1,90,3753,Attitude of support person,0.99981683,0,Churn Value,
881,3658-KIBGF,1,United States,California,Los Angeles,90068,"34.137411, -118.328915",34.137411,-118.328915,Female,No,No,No,1,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,54.9,54.9,Yes,1,89,2833,Network reliability,0.9998167,0,Churn Value,
63,7273-TEFQD,1,United States,California,La Puente,91746,"34.038983, -117.991372",34.038983,-117.991372,Male,Yes,No,No,3,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,Yes,1,96,2314,Long distance charges,0.9998167,0,Churn Value,
406,4237-RLAQD,1,United States,California,Callahan,96014,"41.388397, -122.794636",41.388397,-122.794636,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.85,45.85,Yes,1,94,5930,Attitude of support person,0.9998167,0,Churn Value,
47,1024-GUALD,1,United States,California,Glendale,91207,"34.182378, -118.262922",34.182378,-118.262922,Female,No,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,Yes,1,94,4851,Product dissatisfaction,0.9998167,0,Churn Value,
915,7587-RZNME,1,United States,California,Valencia,91355,"34.43987, -118.644609",34.43987,-118.644609,Male,No,No,No,3,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,43.3,123.65,Yes,1,91,4849,Lack of affordable download/upload speed,0.9998167,0,Churn Value,
1262,9732-KPKBW,1,United States,California,Oroville,95966,"39.473896, -121.415927",39.473896,-121.415927,Male,No,No,No,1,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,53.95,53.95,Yes,1,90,2771,Extra data charges,0.9998167,0,Churn Value,
795,3677-IYRBF,1,United States,California,Newcastle,95658,"38.883224, -121.15918",38.883224,-121.15918,Female,Yes,No,No,2,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,30.4,78.65,Yes,1,90,4002,Lack of self-service on Website,0.9998167,0,Churn Value,
931,4317-VTEOA,1,United States,California,Rowland Heights,91748,"33.976753, -117.897367",33.976753,-117.897367,Male,No,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,50.75,50.75,Yes,1,93,5355,Competitor had better devices,0.9998167,0,Churn Value,
1698,6608-QQLVK,1,United States,California,Bangor,95914,"39.396585, -121.38029",39.396585,-121.38029,Male,No,No,No,1,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,50.5,50.5,Yes,1,83,2077,Competitor made better offer,0.9998167,0,Churn Value,
875,7663-RGWBC,1,United States,California,Los Angeles,90049,"34.091829, -118.491244",34.091829,-118.491244,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,44.15,44.15,Yes,1,97,4773,Don't know,0.9998167,0,Churn Value,
725,7503-QQRVF,1,United States,California,San Jose,95127,"37.375156, -121.795867",37.375156,-121.795867,Male,Yes,Yes,No,16,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.3,1178.25,Yes,1,81,2076,Competitor had better devices,0.999816,1,Churn Value,
1677,9661-MHUMO,1,United States,California,Mather,95655,"38.549822, -121.266725",38.549822,-121.266725,Male,Yes,Yes,Yes,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),49.25,49.25,Yes,1,84,4478,Service dissatisfaction,0.99981576,0,Churn Value,
287,7029-RPUAV,1,United States,California,Los Gatos,95030,"37.222842, -121.988727",37.222842,-121.988727,Male,Yes,Yes,No,17,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.45,1622.45,Yes,1,87,5508,Competitor offered more data,0.9998148,1,Churn Value,
397,1092-GANHU,1,United States,California,Magalia,95954,"39.933852, -121.584371",39.933852,-121.584371,Male,No,No,No,17,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,76.65,1313.55,Yes,1,87,3182,Competitor offered more data,0.9998148,1,Churn Value,
977,1965-DDBWU,1,United States,California,Twentynine Palms,92277,"34.17211, -115.769773",34.17211,-115.769773,Male,No,No,No,16,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),89.05,1448.6,Yes,1,87,5953,Competitor made better offer,0.9998148,1,Churn Value,
374,7861-UVUFT,1,United States,California,Sloughhouse,95683,"38.470423, -121.114897",38.470423,-121.114897,Female,No,Yes,No,15,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,84.3,1308.4,Yes,1,86,4003,Competitor had better devices,0.9998148,1,Churn Value,
